run,trade_count,total_return_proxy,cagr_proxy,max_drawdown_proxy,sharpe_proxy,profit_factor,win_rate,cluster_expectancy
93,409,0.031456,0.396343,-0.355552,0.453767,1.443810,0.457213,0.031456
94,409,0.040340,0.508283,-0.376111,0.543753,1.575220,0.454768,0.040340
95,409,0.022580,0.284511,-0.420085,0.316412,1.289953,0.427873,0.022580
96,409,0.025178,0.317239,-0.355552,0.352107,1.328122,0.420538,0.025178
97,409,0.028821,0.363144,-0.420085,0.404122,1.390961,0.442543,0.028821
98,409,0.023237,0.292782,-0.376111,0.362046,1.329360,0.449878,0.023237
99,409,0.033351,0.420222,-0.420085,0.457848,1.445315,0.449878,0.033351
100,409,0.028618,0.360588,-0.376111,0.408424,1.392509,0.444988,0.028618
101,409,0.035301,0.444794,-0.420085,0.476336,1.480992,0.452323,0.035301
102,409,0.025578,0.322289,-0.376111,0.369763,1.339165,0.449878,0.025578
103,409,0.037333,0.470394,-0.355552,0.507700,1.519109,0.447433,0.037333
104,409,0.036823,0.463975,-0.386988,0.482703,1.491354,0.452323,0.036823
105,409,0.033009,0.415911,-0.386988,0.439978,1.438874,0.447433,0.033009
106,409,0.030725,0.387132,-0.355552,0.424406,1.415580,0.444988,0.030725
107,409,0.025399,0.320027,-0.376111,0.368556,1.342727,0.435208,0.025399
108,409,0.022512,0.283657,-0.376111,0.326124,1.300038,0.444988,0.022512
109,409,0.027214,0.342898,-0.355552,0.383143,1.370507,0.435208,0.027214
110,409,0.031146,0.392443,-0.376111,0.453694,1.432989,0.452323,0.031146
111,409,0.032781,0.413044,-0.420085,0.454218,1.452984,0.437653,0.032781
112,409,0.035197,0.443481,-0.420085,0.490992,1.498002,0.452323,0.035197
113,409,0.027396,0.345189,-0.355552,0.380994,1.369641,0.435208,0.027396
114,409,0.034340,0.432686,-0.420085,0.481540,1.476724,0.457213,0.034340
115,409,0.028491,0.358987,-0.420085,0.395615,1.382599,0.447433,0.028491
116,409,0.038256,0.482022,-0.355552,0.517076,1.544602,0.452323,0.038256
117,409,0.024897,0.313705,-0.420085,0.357937,1.334757,0.444988,0.024897
118,409,0.035676,0.449512,-0.355552,0.498584,1.506730,0.469438,0.035676
119,409,0.039909,0.502859,-0.355552,0.546909,1.575070,0.452323,0.039909
